patient_id,national_dex_number,patient_name,region,primary_type,secondary_type,hp,attack,defense,special_attack,special_defense,speed,stat_total
1,798,Kartana,Alola,Grass,Steel,59,181,131,59,31,109,570
2,722,Rowlet,Alola,Grass,Flying,68,55,55,50,50,42,320
3,748,Toxapex,Alola,Poison,Water,50,63,152,53,142,35,495
4,744,Rockruff,Alola,Rock,,45,65,40,30,40,60,280
5,734,Yungoos,Alola,Normal,,48,70,30,30,30,45,253
6,789,Cosmog,Alola,Psychic,,43,29,31,29,31,37,200
7,732,Trumbeak,Alola,Normal,Flying,55,85,50,40,50,75,355
8,740,Crabominable,Alola,Fight,Ice,97,132,77,62,67,43,478
9,726,Torracat,Alola,Fire,,65,85,50,80,50,90,420
10,790,Cosmoem,Alola,Psychic,,43,29,131,29,131,37,400
11,807,Zeraora,Alola,Electric,,88,112,75,102,80,143,600
12,787,Tapu Bulu,Alola,Grass,Fairy,70,130,115,85,95,75,570
13,775,Komala,Alola,Normal,,65,115,65,75,95,65,480
14,802,Marshadow,Alola,Fight,Ghost,90,125,80,90,90,125,600
15,806,Blacephalon,Alola,Fire,Ghost,53,127,53,151,79,107,570
16,786,Tapu Lele,Alola,Psychic,Fairy,70,85,75,130,115,95,570
17,755,Morelull,Alola,Grass,Fairy,40,35,55,65,75,15,285
18,801,Magearna,Alola,Steel,Fairy,80,95,115,130,115,65,600
19,777,Togedemaru,Alola,Electric,Steel,65,98,63,40,73,96,435
20,795,Pheromosa,Alola,Bug,Fight,71,137,37,137,37,151,570
21,733,Toucannon,Alola,Normal,Flying,80,120,75,75,75,60,485
22,752,Araquanid,Alola,Water,Bug,68,70,92,50,132,42,454
23,762,Steenee,Alola,Grass,,52,40,48,40,48,62,290
24,750,Mudsdale,Alola,Ground,,100,125,100,55,85,35,500
25,731,Pikipek,Alola,Normal,Flying,35,75,30,30,30,65,265
26,888,Zacian,Galar,Fairy,,92,120,115,80,115,138,660
27,826,Orbeetle,Galar,Bug,Psychic,60,45,110,80,120,90,505
28,875,Eiscue,Galar,Ice,,75,80,110,65,90,50,470
29,863,Perrserker,Galar,Steel,,70,110,100,50,60,50,440
30,886,Drakloak,Galar,Dragon,Ghost,68,80,50,60,50,102,410
31,829,Gossifleur,Galar,Grass,,40,40,60,40,60,10,250
32,859,Impidimp,Galar,Dark,Fairy,45,45,30,55,40,50,265
33,834,Drednaw,Galar,Water,Rock,90,115,90,48,68,74,485
34,876,Indeedee,Galar,Psychic,Normal,60,65,55,105,95,95,475
35,858,Hatterene,Galar,Psychic,Fairy,57,90,95,136,103,29,510
36,855,Polteageist,Galar,Ghost,,60,65,65,134,114,70,508
37,852,Clobbopus,Galar,Fight,,50,68,60,50,50,32,310
38,827,Nickit,Galar,Dark,,40,28,28,47,52,50,245
39,892,Urshifu,Galar,Fight,Water,100,130,100,63,60,97,550
40,877,Morpeko,Galar,Electric,Dark,58,95,58,70,58,97,436
41,825,Dottler,Galar,Bug,Psychic,50,35,80,50,90,30,335
42,862,Obstagoon,Galar,Dark,Normal,93,90,101,60,81,95,520
43,868,Milcery,Galar,Fairy,,45,40,40,50,61,34,270
44,878,Cufant,Galar,Steel,,72,80,49,40,49,40,330
45,815,Cinderace,Galar,Fire,,80,116,75,65,75,119,530
46,830,Eldergoss,Galar,Grass,,60,50,90,80,120,60,460
47,840,Applin,Galar,Grass,Dragon,40,40,80,40,40,20,260
48,819,Skwovet,Galar,Normal,,70,55,55,35,35,25,275
